epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,2129.81,1.37261,1.47512,0.01849,0.69814,0.43636,0.50491,0.32515,1.37527,1.36804,0.0318,0.0093664,0.0093664,0.0093664
34,2193.73,1.32362,1.42025,0.01728,0.57466,0.56277,0.57961,0.39549,1.27628,1.36931,0.02767,0.0093466,0.0093466,0.0093466
35,2257.25,1.3027,1.42059,0.01735,0.63753,0.46665,0.51491,0.34031,1.29583,1.44782,0.02912,0.0093268,0.0093268,0.0093268
36,2322.99,1.33008,1.45821,0.01732,0.70939,0.50565,0.53353,0.37987,1.15958,1.25372,0.02474,0.009307,0.009307,0.009307
37,2387.27,1.3565,1.41959,0.01783,0.71014,0.52708,0.57416,0.38991,1.21844,1.29497,0.0258,0.0092872,0.0092872,0.0092872
38,2451.09,1.31265,1.43467,0.01697,0.77162,0.43977,0.53876,0.37569,1.15611,1.39732,0.02456,0.0092674,0.0092674,0.0092674
39,2514.53,1.31179,1.35678,0.01711,0.74649,0.53366,0.62228,0.41088,1.20067,1.35125,0.02533,0.0092476,0.0092476,0.0092476
40,2579.28,1.31072,1.34746,0.01703,0.73915,0.53514,0.60584,0.41674,1.21424,1.2616,0.02571,0.0092278,0.0092278,0.0092278
41,2646.14,1.3026,1.36518,0.01687,0.59893,0.64414,0.60366,0.40642,1.27286,1.31827,0.02684,0.009208,0.009208,0.009208
42,2710.15,1.27884,1.30865,0.01674,0.60945,0.57028,0.57108,0.39689,1.20767,1.3922,0.02544,0.0091882,0.0091882,0.0091882
43,2775.35,1.2802,1.32661,0.01679,0.80029,0.54225,0.6388,0.46478,1.12742,1.14242,0.02325,0.0091684,0.0091684,0.0091684
44,2840.35,1.28897,1.30195,0.01697,0.75867,0.51531,0.62928,0.43092,1.18688,1.16872,0.02446,0.0091486,0.0091486,0.0091486
45,2905.24,1.28844,1.2419,0.0166,0.76531,0.498,0.61259,0.43548,1.1441,1.19203,0.02408,0.0091288,0.0091288,0.0091288
46,2969.25,1.27391,1.27689,0.01671,0.7968,0.52461,0.63374,0.42864,1.19702,1.29039,0.02656,0.009109,0.009109,0.009109
47,3033.37,1.26722,1.27113,0.01655,0.47487,0.54905,0.53013,0.36174,1.29299,1.50722,0.02898,0.0090892,0.0090892,0.0090892
48,3095.68,1.24154,1.22188,0.01602,0.72924,0.54688,0.59203,0.39097,1.2289,1.22036,0.02635,0.0090694,0.0090694,0.0090694
49,3159.35,1.27464,1.24626,0.01694,0.76865,0.47656,0.61119,0.39975,1.22699,1.43338,0.02572,0.0090496,0.0090496,0.0090496
50,3223.72,1.26002,1.23565,0.01657,0.78294,0.4852,0.59379,0.42199,1.08956,1.17064,0.02199,0.0090298,0.0090298,0.0090298
51,3289.09,1.22726,1.19849,0.01617,0.61003,0.65383,0.70527,0.4871,1.12384,1.11682,0.02385,0.00901,0.00901,0.00901
52,3352.11,1.24234,1.19697,0.0162,0.74654,0.55021,0.63164,0.45531,1.114,1.11202,0.02336,0.0089902,0.0089902,0.0089902
53,3416.96,1.24129,1.22019,0.01621,0.86514,0.53467,0.65417,0.46596,1.13585,1.00913,0.02396,0.0089704,0.0089704,0.0089704
54,3462.82,1.21638,1.17223,0.01607,0.81292,0.54209,0.69092,0.49726,1.09417,1.15628,0.02264,0.0089506,0.0089506,0.0089506
55,3499.5,1.23728,1.15485,0.01588,0.81006,0.54356,0.67447,0.47285,1.13998,1.06249,0.02425,0.0089308,0.0089308,0.0089308
56,3536.21,1.24563,1.19098,0.01586,0.81641,0.56232,0.65305,0.46068,1.15821,1.12013,0.02393,0.008911,0.008911,0.008911
57,3572.93,1.21141,1.11972,0.01549,0.86414,0.62493,0.78725,0.56173,1.14028,0.87106,0.02391,0.0088912,0.0088912,0.0088912
58,3609.54,1.20968,1.16096,0.01551,0.80862,0.51317,0.64047,0.44465,1.16661,1.14393,0.02464,0.0088714,0.0088714,0.0088714
59,3646.21,1.20823,1.12024,0.01552,0.65895,0.65222,0.693,0.50355,1.10907,1.07128,0.02321,0.0088516,0.0088516,0.0088516
60,3682.56,1.21571,1.13184,0.01587,0.81029,0.54883,0.67745,0.47124,1.19039,1.07564,0.0257,0.0088318,0.0088318,0.0088318
61,3720,1.19921,1.10126,0.01529,0.80763,0.59537,0.68745,0.49505,1.06401,1.01806,0.02215,0.008812,0.008812,0.008812
62,3757.86,1.1961,1.11609,0.01552,0.83915,0.62763,0.66641,0.4928,1.07979,0.98521,0.02237,0.0087922,0.0087922,0.0087922
63,3797.37,1.20434,1.08044,0.01524,0.81153,0.56729,0.6601,0.47946,1.08935,1.07528,0.02344,0.0087724,0.0087724,0.0087724
64,3834.44,1.18976,1.12725,0.01552,0.79589,0.60856,0.67822,0.49924,1.06282,0.96587,0.02244,0.0087526,0.0087526,0.0087526
65,3871.33,1.17503,1.08746,0.0153,0.6452,0.70781,0.70003,0.50683,1.07738,0.89146,0.02208,0.0087328,0.0087328,0.0087328
66,3908.15,1.18728,1.06857,0.01525,0.80256,0.60736,0.65743,0.48248,1.0397,0.97395,0.02155,0.008713,0.008713,0.008713
67,3966.37,1.19205,1.08434,0.01503,0.84664,0.57537,0.69623,0.51499,1.06926,0.95727,0.0222,0.0086932,0.0086932,0.0086932
68,4039.38,1.17988,1.07419,0.01513,0.80172,0.57818,0.67119,0.50084,1.03219,0.91158,0.02152,0.0086734,0.0086734,0.0086734
69,4112.85,1.17274,1.06919,0.01504,0.8038,0.55964,0.66115,0.47367,1.07951,1.11585,0.02295,0.0086536,0.0086536,0.0086536
70,4187.71,1.17633,1.04636,0.01505,0.90746,0.59524,0.71974,0.53485,1.08255,0.91022,0.02285,0.0086338,0.0086338,0.0086338
71,4259.25,1.17204,1.0673,0.01498,0.82607,0.60426,0.71686,0.54599,1.00219,0.86784,0.02063,0.008614,0.008614,0.008614
72,4326.7,1.16323,1.06424,0.01465,0.81407,0.59871,0.70866,0.53256,1.06524,0.95238,0.02256,0.0085942,0.0085942,0.0085942
73,4395.16,1.16754,1.016,0.01476,0.76493,0.65511,0.66585,0.48977,1.0763,0.98071,0.02252,0.0085744,0.0085744,0.0085744
74,4463.11,1.16407,1.0129,0.01505,0.66814,0.61758,0.66766,0.48474,1.05454,0.9044,0.02205,0.0085546,0.0085546,0.0085546
75,4531.98,1.16369,1.06101,0.01504,0.85099,0.6302,0.75119,0.56944,1.04624,0.89027,0.02125,0.0085348,0.0085348,0.0085348
76,4599.7,1.16506,1.02862,0.01467,0.72384,0.69103,0.7102,0.52294,1.12984,0.91628,0.02354,0.008515,0.008515,0.008515
77,4667.3,1.16295,1.05223,0.01456,0.85133,0.58205,0.68591,0.51365,1.03479,0.97229,0.02202,0.0084952,0.0084952,0.0084952
78,4744.23,1.14724,1.01001,0.01474,0.63252,0.68106,0.69992,0.52846,1.03241,0.89328,0.02171,0.0084754,0.0084754,0.0084754
79,4816.21,1.15219,1.01172,0.0145,0.79264,0.71674,0.75656,0.57651,1.00277,0.88804,0.02062,0.0084556,0.0084556,0.0084556
80,4889.78,1.11874,0.99207,0.01417,0.85852,0.63845,0.71192,0.54483,0.97948,0.83273,0.02029,0.0084358,0.0084358,0.0084358
81,4963.7,1.15978,1.01154,0.01447,0.63163,0.60416,0.64611,0.45268,1.26486,1.20365,0.02693,0.008416,0.008416,0.008416
82,5035.63,1.17517,1.02908,0.01503,0.69027,0.70221,0.74533,0.57036,0.96716,0.79516,0.0201,0.0083962,0.0083962,0.0083962
83,5111.79,1.11896,0.95848,0.01404,0.85474,0.61681,0.7109,0.51081,1.16483,0.82038,0.02515,0.0083764,0.0083764,0.0083764
84,5180.13,1.12255,0.97699,0.01419,0.84994,0.63145,0.71739,0.52079,1.03654,0.88885,0.02173,0.0083566,0.0083566,0.0083566
85,5251.32,1.15726,0.9724,0.01464,0.82719,0.65533,0.75556,0.57866,0.98938,0.79123,0.02059,0.0083368,0.0083368,0.0083368
86,5319.03,1.1312,0.98084,0.01409,0.90993,0.58252,0.70561,0.5386,0.99228,0.87755,0.02105,0.008317,0.008317,0.008317
87,5389.25,1.10769,0.91669,0.01415,0.82059,0.64984,0.74071,0.56214,0.99951,0.9116,0.02128,0.0082972,0.0082972,0.0082972
88,5460.19,1.11752,0.89937,0.01381,0.90898,0.59786,0.76515,0.57592,1.01053,0.83474,0.02131,0.0082774,0.0082774,0.0082774
89,5509.96,1.12937,0.94802,0.0142,0.65589,0.70743,0.76613,0.57766,1.00876,0.74101,0.02104,0.0082576,0.0082576,0.0082576
90,5574.74,1.12913,0.93999,0.01442,0.86553,0.6457,0.77152,0.58647,0.99046,0.83296,0.01989,0.0082378,0.0082378,0.0082378
91,5641.92,1.12415,0.93735,0.01436,0.89567,0.58943,0.71096,0.53573,0.9836,1.0426,0.02,0.008218,0.008218,0.008218
92,5709.9,1.11236,0.90872,0.01427,0.82467,0.58963,0.68092,0.52231,0.98776,1.08915,0.02073,0.0081982,0.0081982,0.0081982
93,5774.6,1.10958,0.9295,0.01406,0.88628,0.63762,0.75248,0.58793,0.95958,0.82526,0.02,0.0081784,0.0081784,0.0081784
94,5841.22,1.11864,0.90137,0.01425,0.68386,0.71425,0.7649,0.56598,1.07733,0.8974,0.0231,0.0081586,0.0081586,0.0081586
95,5906.52,1.11197,0.94707,0.01391,0.6803,0.6733,0.73756,0.5813,0.9453,0.86736,0.01943,0.0081388,0.0081388,0.0081388
96,5972.53,1.09365,0.90666,0.01374,0.60169,0.73749,0.74062,0.55682,1.03921,0.79348,0.02166,0.008119,0.008119,0.008119
97,6039.01,1.10285,0.91882,0.01383,0.8792,0.61588,0.77683,0.59174,0.99257,0.80183,0.02038,0.0080992,0.0080992,0.0080992
98,6102.47,1.099,0.93093,0.01379,0.77982,0.6915,0.77825,0.60444,0.94268,0.85255,0.01928,0.0080794,0.0080794,0.0080794
99,6167.4,1.09729,0.89621,0.01347,0.81989,0.6918,0.7745,0.59431,0.9326,0.7739,0.01926,0.0080596,0.0080596,0.0080596
100,6232.98,1.08048,0.90287,0.01373,0.84872,0.68305,0.77194,0.61538,0.93416,0.7519,0.01903,0.0080398,0.0080398,0.0080398
101,6302.23,1.08125,0.90582,0.01355,0.70453,0.71658,0.75881,0.58471,1.00111,0.88124,0.0211,0.00802,0.00802,0.00802
102,6369.7,1.10149,0.89787,0.01411,0.7881,0.70041,0.76382,0.57439,0.96525,0.84097,0.01972,0.0080002,0.0080002,0.0080002
103,6436.91,1.09816,0.88056,0.01394,0.77184,0.69691,0.76533,0.56194,0.98087,0.84967,0.02073,0.0079804,0.0079804,0.0079804
104,6503.53,1.08324,0.86806,0.01373,0.81687,0.71035,0.78398,0.59875,0.88637,0.89776,0.01834,0.0079606,0.0079606,0.0079606
105,6569.78,1.08769,0.89537,0.01392,0.59203,0.75505,0.7793,0.58348,0.98835,0.94001,0.02048,0.0079408,0.0079408,0.0079408
106,6648.12,1.06509,0.85961,0.01347,0.72922,0.72824,0.75786,0.58928,0.96171,0.73385,0.02043,0.007921,0.007921,0.007921
107,6723.41,1.08754,0.86514,0.01411,0.66639,0.74169,0.78148,0.61704,0.91377,0.79293,0.01827,0.0079012,0.0079012,0.0079012
108,6798.28,1.07974,0.86537,0.0136,0.87576,0.71122,0.80205,0.62254,0.94909,0.75922,0.01993,0.0078814,0.0078814,0.0078814
109,6873.06,1.08058,0.89384,0.0136,0.8019,0.67791,0.75597,0.58132,0.98546,0.83048,0.02111,0.0078616,0.0078616,0.0078616
110,6944.34,1.09341,0.85734,0.0136,0.70125,0.72748,0.78271,0.60274,0.96445,0.77101,0.01981,0.0078418,0.0078418,0.0078418
111,7031.04,1.08636,0.86933,0.01389,0.73699,0.70789,0.77341,0.58588,0.99754,0.79147,0.02068,0.007822,0.007822,0.007822
112,7108.91,1.06799,0.84452,0.01353,0.69931,0.79323,0.83062,0.64117,0.93331,0.82569,0.0195,0.0078022,0.0078022,0.0078022
113,7182.99,1.06013,0.84881,0.01324,0.86401,0.6721,0.84285,0.64289,0.95687,0.74384,0.01958,0.0077824,0.0077824,0.0077824
114,7260.68,1.07356,0.85336,0.01364,0.78943,0.74657,0.7891,0.61052,0.96921,0.79544,0.0201,0.0077626,0.0077626,0.0077626
115,7332.12,1.07188,0.85563,0.01329,0.79583,0.71242,0.75793,0.58237,0.95433,0.76077,0.01979,0.0077428,0.0077428,0.0077428
116,7414.63,1.06658,0.84145,0.01353,0.7807,0.75768,0.81228,0.62723,0.93418,0.78939,0.01925,0.007723,0.007723,0.007723
117,7489.74,1.07348,0.84241,0.01327,0.66058,0.78606,0.78075,0.58537,0.94859,0.81109,0.0196,0.0077032,0.0077032,0.0077032
118,7564.33,1.04114,0.84429,0.0133,0.71748,0.77193,0.79971,0.59181,1.02488,0.79787,0.02147,0.0076834,0.0076834,0.0076834
119,7639.42,1.0575,0.8341,0.01309,0.85408,0.70581,0.79673,0.62745,0.89935,0.73766,0.01834,0.0076636,0.0076636,0.0076636
120,7714.74,1.05903,0.83487,0.01353,0.7923,0.7167,0.80139,0.61936,0.95932,0.71053,0.01992,0.0076438,0.0076438,0.0076438
121,7789.32,1.05697,0.83194,0.01313,0.76799,0.71966,0.77157,0.582,1.0186,0.76549,0.02173,0.007624,0.007624,0.007624
122,7863.81,1.06924,0.82831,0.01323,0.6501,0.70636,0.75244,0.58582,0.90385,0.88659,0.0189,0.0076042,0.0076042,0.0076042
123,7938.88,1.05727,0.81429,0.01316,0.88442,0.65717,0.78266,0.60984,0.93306,0.78447,0.01931,0.0075844,0.0075844,0.0075844
124,8008.47,1.01441,0.8029,0.01253,0.88816,0.67681,0.80726,0.62697,0.95238,0.81677,0.01984,0.0075646,0.0075646,0.0075646
125,8076.37,1.02564,0.76352,0.01315,0.79666,0.74298,0.80784,0.64478,0.89028,0.69137,0.01859,0.0075448,0.0075448,0.0075448
126,8146.78,1.03651,0.78368,0.01287,0.87944,0.7255,0.8224,0.63913,0.92652,0.68485,0.01928,0.007525,0.007525,0.007525
127,8211.22,1.03502,0.77693,0.01263,0.81592,0.71463,0.78833,0.62939,0.88845,0.74797,0.01822,0.0075052,0.0075052,0.0075052
128,8274.05,1.04408,0.76055,0.01304,0.86333,0.75514,0.87065,0.67987,0.89781,0.70506,0.01832,0.0074854,0.0074854,0.0074854
129,8339.18,1.03523,0.79003,0.01298,0.86632,0.72374,0.82169,0.62594,0.94686,0.67234,0.01954,0.0074656,0.0074656,0.0074656
130,8403.22,1.04458,0.80325,0.01302,0.82353,0.73859,0.8359,0.6637,0.92028,0.72833,0.01925,0.0074458,0.0074458,0.0074458
131,8471.46,1.01589,0.77525,0.01261,0.79763,0.73628,0.79569,0.62609,0.90671,0.81426,0.01879,0.007426,0.007426,0.007426
132,8537.91,1.02915,0.78662,0.01281,0.90443,0.72498,0.81912,0.63921,0.90648,0.72282,0.0189,0.0074062,0.0074062,0.0074062
133,8604.13,1.03355,0.80149,0.01302,0.87225,0.73834,0.83727,0.67714,0.89269,0.74263,0.01863,0.0073864,0.0073864,0.0073864
134,8669.9,1.01298,0.77119,0.01254,0.74363,0.81739,0.81553,0.64238,0.88042,0.76232,0.01767,0.0073666,0.0073666,0.0073666
135,8734.87,1.02915,0.77352,0.0129,0.902,0.74332,0.83629,0.65023,0.88919,0.75185,0.01798,0.0073468,0.0073468,0.0073468
136,8806,1.03843,0.77606,0.01302,0.8209,0.79065,0.80817,0.63407,0.89628,0.74235,0.01869,0.007327,0.007327,0.007327
137,8875.68,1.01184,0.79782,0.01274,0.8534,0.72131,0.82017,0.63529,0.91207,0.69652,0.01853,0.0073072,0.0073072,0.0073072
138,8945.81,1.02587,0.79364,0.01245,0.87807,0.64348,0.78701,0.6069,0.93223,0.82936,0.01915,0.0072874,0.0072874,0.0072874
139,9019.29,0.99691,0.75516,0.01239,0.70839,0.76233,0.78517,0.61898,0.88873,0.72284,0.01862,0.0072676,0.0072676,0.0072676
140,9091.36,1.01614,0.74519,0.01251,0.86137,0.72217,0.82119,0.63717,0.92476,0.7231,0.01946,0.0072478,0.0072478,0.0072478
141,9168.9,1.01315,0.75091,0.01243,0.87161,0.74458,0.82608,0.66179,0.89055,0.70155,0.01827,0.007228,0.007228,0.007228
142,9240.49,0.98576,0.7282,0.01196,0.87118,0.72794,0.82945,0.62604,0.91264,0.64979,0.01922,0.0072082,0.0072082,0.0072082
143,9313.18,0.99199,0.74093,0.01205,0.88458,0.67543,0.84458,0.6325,0.93304,0.705,0.01968,0.0071884,0.0071884,0.0071884
144,9388.83,1.02672,0.77679,0.01268,0.92506,0.70208,0.83321,0.66498,0.87914,0.72177,0.01805,0.0071686,0.0071686,0.0071686
145,9460.92,1.01211,0.72614,0.01261,0.8419,0.7186,0.83075,0.65746,0.89391,0.68797,0.01822,0.0071488,0.0071488,0.0071488
146,9544.14,1.00243,0.76434,0.01233,0.9181,0.73125,0.85183,0.67956,0.88163,0.68668,0.01791,0.007129,0.007129,0.007129
147,9616.69,0.98796,0.73853,0.01203,0.85197,0.80797,0.84405,0.66267,0.85288,0.77879,0.01802,0.0071092,0.0071092,0.0071092
148,9687.41,0.99943,0.73756,0.01211,0.80905,0.78263,0.85309,0.6963,0.84239,0.71897,0.01757,0.0070894,0.0070894,0.0070894
149,9763.21,1.0186,0.73532,0.01291,0.90338,0.72968,0.84971,0.67941,0.85772,0.67523,0.01813,0.0070696,0.0070696,0.0070696
150,9834.31,0.98551,0.73082,0.01197,0.90872,0.76427,0.85864,0.69002,0.90728,0.69635,0.01919,0.0070498,0.0070498,0.0070498
151,9913.49,1.00443,0.72584,0.01264,0.8938,0.72312,0.86991,0.67916,0.86158,0.69126,0.01747,0.00703,0.00703,0.00703
152,9985.2,1.01506,0.74152,0.01257,0.93375,0.73172,0.84423,0.66939,0.84738,0.69423,0.01796,0.0070102,0.0070102,0.0070102
153,10054.7,0.99723,0.72045,0.0123,0.88481,0.79572,0.86169,0.67242,0.89564,0.66116,0.01882,0.0069904,0.0069904,0.0069904
154,10130.7,0.98574,0.72731,0.01199,0.89336,0.79831,0.87519,0.70973,0.83656,0.60432,0.01755,0.0069706,0.0069706,0.0069706
155,10200.8,0.98995,0.71306,0.01201,0.89222,0.75702,0.86425,0.69691,0.83542,0.60154,0.01742,0.0069508,0.0069508,0.0069508
156,10278,0.98811,0.69098,0.012,0.91364,0.77055,0.85339,0.66726,0.8785,0.70772,0.01852,0.006931,0.006931,0.006931
157,10349.9,0.98611,0.71185,0.01233,0.89398,0.77337,0.88317,0.70262,0.86464,0.61937,0.01798,0.0069112,0.0069112,0.0069112
158,10418.3,0.98018,0.71322,0.01195,0.87539,0.82381,0.86928,0.69246,0.86095,0.62914,0.01792,0.0068914,0.0068914,0.0068914
159,10494.8,0.97512,0.7355,0.01193,0.9097,0.76247,0.83367,0.67728,0.85032,0.67655,0.01722,0.0068716,0.0068716,0.0068716
160,10565.1,0.97208,0.70881,0.01251,0.90862,0.72003,0.83437,0.67953,0.82716,0.74279,0.01739,0.0068518,0.0068518,0.0068518
161,10640.3,0.98848,0.68745,0.01226,0.87124,0.78561,0.86734,0.69698,0.85763,0.63842,0.0177,0.006832,0.006832,0.006832
162,10711.6,0.96406,0.69867,0.01204,0.89716,0.75735,0.8283,0.66158,0.84859,0.74986,0.01744,0.0068122,0.0068122,0.0068122
163,10779.6,0.94321,0.67731,0.01154,0.90271,0.74389,0.83754,0.66282,0.86553,0.68728,0.01754,0.0067924,0.0067924,0.0067924
164,10857,0.97848,0.72078,0.01228,0.81618,0.79502,0.86317,0.68452,0.89606,0.67008,0.01866,0.0067726,0.0067726,0.0067726
165,10927.9,0.97966,0.71726,0.0119,0.86325,0.81267,0.8564,0.69842,0.81026,0.71099,0.01689,0.0067528,0.0067528,0.0067528
166,11002.9,0.97818,0.68846,0.01203,0.88185,0.7781,0.85365,0.69699,0.85365,0.68119,0.01776,0.006733,0.006733,0.006733
167,11072.6,0.97116,0.68287,0.01194,0.93111,0.76276,0.87982,0.71637,0.82001,0.64158,0.01678,0.0067132,0.0067132,0.0067132
168,11140.4,0.99181,0.7203,0.0123,0.9123,0.76673,0.83621,0.68976,0.80288,0.71341,0.01666,0.0066934,0.0066934,0.0066934
169,11216.7,0.96547,0.69909,0.01219,0.90891,0.78757,0.85326,0.68438,0.83641,0.71861,0.01761,0.0066736,0.0066736,0.0066736
170,11287.1,0.9523,0.67035,0.01172,0.88668,0.81409,0.88506,0.71169,0.81355,0.62213,0.01659,0.0066538,0.0066538,0.0066538
171,11361.9,0.94996,0.69346,0.01169,0.86508,0.77478,0.8642,0.69975,0.83508,0.68641,0.017,0.006634,0.006634,0.006634
172,11433.8,0.95327,0.65999,0.01197,0.93823,0.75057,0.87398,0.72982,0.8277,0.62756,0.01698,0.0066142,0.0066142,0.0066142
173,11496.9,0.95498,0.69823,0.01149,0.89552,0.79056,0.87314,0.7146,0.82526,0.66652,0.01735,0.0065944,0.0065944,0.0065944
174,11571.9,0.95998,0.66122,0.01182,0.85816,0.75256,0.849,0.67648,0.84655,0.67842,0.01768,0.0065746,0.0065746,0.0065746
175,11641.8,0.95391,0.66854,0.01173,0.75901,0.85057,0.86036,0.6913,0.81548,0.64518,0.01685,0.0065548,0.0065548,0.0065548
176,11718.3,0.93578,0.66238,0.01162,0.80617,0.80831,0.83942,0.67238,0.82405,0.71209,0.01688,0.006535,0.006535,0.006535
177,11790.3,0.94063,0.66383,0.01164,0.89254,0.79213,0.87998,0.71416,0.80838,0.63139,0.01654,0.0065152,0.0065152,0.0065152
178,11860.2,0.9186,0.65347,0.01111,0.89817,0.77434,0.85903,0.69334,0.83192,0.62732,0.01744,0.0064954,0.0064954,0.0064954
179,11936.6,0.94964,0.65229,0.01198,0.89249,0.82116,0.86936,0.70909,0.81881,0.72325,0.01681,0.0064756,0.0064756,0.0064756
180,12008.2,0.94437,0.67672,0.01137,0.95934,0.76957,0.87927,0.7083,0.83556,0.66343,0.01688,0.0064558,0.0064558,0.0064558
181,12081.8,0.91861,0.64059,0.01135,0.85958,0.80925,0.86962,0.71001,0.77624,0.63585,0.01602,0.006436,0.006436,0.006436
182,12153,0.95958,0.67885,0.01152,0.90809,0.81144,0.88857,0.73159,0.79435,0.59785,0.01633,0.0064162,0.0064162,0.0064162
183,12222.5,0.95253,0.68019,0.01171,0.82156,0.80621,0.84843,0.68838,0.81484,0.67742,0.017,0.0063964,0.0063964,0.0063964
184,12300.9,0.94148,0.65284,0.01157,0.81933,0.79551,0.85011,0.70668,0.76867,0.62605,0.01579,0.0063766,0.0063766,0.0063766
185,12372.6,0.93925,0.64875,0.01146,0.82285,0.75626,0.83479,0.69773,0.74717,0.691,0.01524,0.0063568,0.0063568,0.0063568
186,12446.8,0.91977,0.65914,0.01126,0.9002,0.7958,0.87562,0.73008,0.75868,0.65503,0.01543,0.006337,0.006337,0.006337
